ANO,RA,INDE,PEDRA,IAA,IEG,IPS,IDA,IPV,IAN,IPP,IAA_AnoAnterior,Delta_IAA,Tendencia_IAA,IEG_AnoAnterior,Delta_IEG,Tendencia_IEG,IPS_AnoAnterior,Delta_IPS,Tendencia_IPS,IDA_AnoAnterior,Delta_IDA,Tendencia_IDA,IPP_AnoAnterior,Delta_IPP,Tendencia_IPP,IPV_AnoAnterior,Delta_IPV,Tendencia_IPV,IAN_AnoAnterior,Delta_IAN,Tendencia_IAN,INDE_AnoAnterior,Delta_INDE,Tendencia_INDE,Ponto_Virada
2022,RA-1,5.783,Quartzo,8.3,4.1,5.6,4.0,7.278,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023,RA-1,0.0,Não Informado,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.3,-8.3,-0.9987966305655837,4.1,-4.1,-0.9975669099756691,5.6,-5.6,-0.9982174688057042,4.0,-4.0,-0.9975062344139651,0.0,0.0,0.0,7.278,-7.278,-0.9986278814489572,5.0,5.0,0.9980039920159681,5.783,-5.783,-0.9982737786984291,0
2024,RA-1,0.0,Não Informado,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0
2022,RA-10,5.784,Quartzo,8.3,5.2,5.0,4.1,7.056,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,RA-100,7.618,Ametista,8.8,7.8,5.0,7.6,7.25,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-1000,7.9162,Ametista,8.5,9.4,3.77,7.0,8.92,10.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1000,8.364790909100002,Topázio,9.002,9.5454545455,6.26,7.75,7.835,10.0,8.125,8.5,0.5020000000000007,0.05898942420681559,9.4,0.1454545454999998,0.015457443730074369,3.77,2.4899999999999998,0.6587301587301587,7.0,0.75,0.10699001426533523,6.25,1.875,0.29952076677316297,8.92,-1.085,-0.12150055991041434,10.0,0.0,0.0,7.9162,0.44859090910000177,0.056595961381242184,1
2023,RA-1001,8.1162,Topázio,9.0,9.1,7.52,7.8,9.17,5.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1001,7.7964318841,Ametista,7.502,9.347826087,7.51,7.75,7.92,5.0,7.916666667,9.0,-1.4980000000000002,-0.16625971143174254,9.1,0.24782608699999997,0.027203741712403952,7.52,-0.009999999999999787,-0.0013280212483399452,7.8,-0.04999999999999982,-0.0064020486555697595,7.5,0.4166666670000003,0.055481580159787,9.17,-1.25,-0.13616557734204793,5.0,0.0,0.0,8.1162,-0.31976811589999876,-0.03935026407176771,1
2023,RA-1002,7.9012,Ametista,9.0,9.7,7.52,7.0,8.92,5.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1002,7.967866666700001,Ametista,9.002,7.833333333500001,7.51,9.25,8.25,5.0,7.5,9.0,0.002000000000000668,0.0002219755826859787,9.7,-1.8666666664999987,-0.19224167523171976,7.52,-0.009999999999999787,-0.0013280212483399452,7.0,2.25,0.3209700427960057,6.25,1.25,0.19968051118210864,8.92,-0.6699999999999999,-0.07502799552071668,5.0,0.0,0.0,7.9012,0.06666666670000065,0.008426871612397696,1
2023,RA-1003,7.6522,Ametista,9.0,8.5,7.52,4.0,8.75,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1003,7.627588888900001,Ametista,8.002,8.6944444445,7.51,8.25,7.5,5.0,6.875,9.0,-0.9979999999999993,-0.1107658157602663,8.5,0.1944444445000002,0.022848935898942446,7.52,-0.009999999999999787,-0.0013280212483399452,4.0,4.25,1.059850374064838,7.5,-0.625,-0.08322237017310254,8.75,-1.25,-0.14269406392694065,10.0,-5.0,-0.4995004995004995,7.6522,-0.024611111099998695,-0.0032120162746990025,1
2023,RA-1004,8.3137,Topázio,9.0,9.6,7.52,7.9,7.42,10.0,6.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,RA-1004,7.801200000000001,Ametista,9.502,9.25,7.51,7.5,7.5,5.0,7.5,9.0,0.5020000000000007,0.055715871254162115,9.6,-0.34999999999999964,-0.03642039542143597,7.52,-0.009999999999999787,-0.0013280212483399452,7.9,-0.40000000000000036,-0.050568900126422296,6.875,0.625,0.09077705156136529,7.42,0.08000000000000007,0.010767160161507413,10.0,-5.0,-0.4995004995004995,8.3137,-0.5125000000000002,-0.06157117627977944,1
2023,RA-1005,8.4252,Topázio,9.5,7.9,7.52,8.8,8.165,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023,RA-1006,8.5922,Topázio,9.0,9.3,7.52,8.7,8.0,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
