RA,IAA,IEG,IPS,IDA,IPV,IAN,Atingiu PV,Ano,INDE_Calc,Delta_Acad_Engaj,Potencial_Virada,Risco_Psicosocial
RA-1,8.3,4.1,5.6,4.0,7.278,5.0,0.0,2022,4.9656,-0.09999999999999964,5.689,0
RA-2,8.8,5.2,6.3,6.8,6.778,10.0,0.0,2022,6.2656,1.5999999999999996,5.989,0
RA-3,0.0,7.9,5.6,5.6,7.556,10.0,0.0,2022,5.7712,-2.3000000000000007,7.728,0
RA-4,8.8,4.5,5.6,5.0,5.278,10.0,0.0,2022,5.3956,0.5,4.888999999999999,0
RA-5,7.9,8.6,5.6,5.2,7.389,10.0,0.0,2022,6.5878,-3.3999999999999995,7.9945,0
RA-6,7.9,4.5,7.5,3.3,7.222,5.0,0.0,2022,5.0444,-1.2000000000000002,5.861000000000001,0
RA-7,0.0,8.4,7.5,7.6,7.667,5.0,0.0,2022,5.9834000000000005,-0.8000000000000007,8.0335,0
RA-8,7.1,4.6,6.3,1.6,6.278,5.0,0.0,2022,4.3356,-2.9999999999999996,5.439,0
RA-9,8.8,9.5,7.5,6.7,9.5,5.0,1.0,2022,7.2700000000000005,-2.8,9.5,0
RA-10,8.3,5.2,5.0,4.1,7.056,5.0,0.0,2022,5.1012,-1.1000000000000005,6.128,0
RA-11,9.2,4.2,5.0,3.0,6.389,5.0,0.0,2022,4.6378,-1.2000000000000002,5.2945,0
RA-12,0.0,4.0,6.9,1.5,6.389,10.0,0.0,2022,4.0678,-2.5,5.1945,0
RA-13,7.9,7.4,7.5,4.7,8.056,5.0,0.0,2022,6.0712,-2.7,7.728,0
RA-14,7.9,8.3,7.5,4.0,7.75,5.0,0.0,2022,6.05,-4.300000000000001,8.025,0
RA-15,8.8,10.0,7.5,7.3,7.292,5.0,0.0,2022,7.0484,-2.7,8.646,0
RA-16,7.9,8.3,5.0,3.5,6.333,5.0,0.0,2022,5.416600000000001,-4.800000000000001,7.3165000000000004,0
RA-17,8.8,10.0,7.5,7.8,8.292,5.0,0.0,2022,7.348400000000001,-2.2,9.146,0
RA-18,6.3,8.7,6.3,9.0,6.875,5.0,0.0,2022,6.675,0.3000000000000007,7.7875,0
RA-19,7.9,9.5,7.5,8.0,7.0,5.0,0.0,2022,6.94,-1.5,8.25,0
RA-20,7.1,10.0,6.3,7.8,7.167,5.0,0.0,2022,6.8334,-2.2,8.5835,0
RA-21,9.6,9.2,7.5,3.8,7.25,5.0,0.0,2022,6.26,-5.3999999999999995,8.225,0
RA-22,8.3,7.4,8.1,6.7,8.833,5.0,1.0,2022,6.726600000000001,-0.7000000000000002,8.1165,0
RA-23,8.3,8.2,8.1,6.7,8.556,5.0,1.0,2022,6.831200000000001,-1.4999999999999991,8.378,0
RA-24,9.2,7.9,6.9,8.6,9.111,5.0,1.0,2022,7.232200000000001,0.6999999999999993,8.505500000000001,0
